,kl_global,kl_adapted,delta,n
50309,0.730495274066925,0.6130761504173279,0.11741912364959717,8.0
20093,0.10032308101654053,0.07840333878993988,0.021919742226600647,10.0
105,0.4697248041629791,0.3159668743610382,0.15375792980194092,8.0
21021,0.32560816407203674,0.13971233367919922,0.18589583039283752,10.0
2384,0.9615303874015808,0.8239380121231079,0.1375923752784729,15.0
54056,0.9439840316772461,0.2644144296646118,0.6795696020126343,3.0
58804,0.07887112349271774,0.05961129814386368,0.019259825348854065,4.0
26128,0.45205625891685486,0.35243019461631775,0.09962606430053711,11.0
38944,0.06993411481380463,0.07991392910480499,-0.009979814291000366,3.0
15950,0.7246134877204895,0.571921169757843,0.15269231796264648,20.0
48138,1.356317162513733,1.3171881437301636,0.039129018783569336,3.0
40287,0.6364486217498779,0.2903481125831604,0.34610050916671753,14.0
55611,0.764578640460968,0.6232621669769287,0.1413164734840393,5.0
9371,0.3347588777542114,0.3309539556503296,0.003804922103881836,24.0
3325,1.4221155643463135,1.4437499046325684,-0.021634340286254883,5.0
58128,0.5717911124229431,0.4356023073196411,0.136188805103302,16.0
15221,0.310655415058136,0.3127681314945221,-0.0021127164363861084,20.0
19083,0.5219621062278748,0.5712007284164429,-0.049238622188568115,22.0
53681,0.18253543972969055,0.16877460479736328,0.01376083493232727,10.0
39981,0.10195090621709824,0.12102669477462769,-0.01907578855752945,3.0
17231,0.2863481640815735,0.35550999641418457,-0.06916183233261108,9.0
29163,0.8523361682891846,0.6986584663391113,0.15367770195007324,4.0
11966,0.17180991172790527,0.14339983463287354,0.02841007709503174,22.0
4898,0.3687955439090729,0.35856375098228455,0.01023179292678833,3.0
61969,0.15971598029136658,0.1568155288696289,0.002900451421737671,11.0
4548,0.8661799430847168,0.8392514586448669,0.026928484439849854,12.0
18934,0.6162929534912109,0.43921583890914917,0.17707711458206177,7.0
8423,0.9004852175712585,0.8322323560714722,0.06825286149978638,12.0
13970,0.4349205791950226,0.31624165177345276,0.11867892742156982,7.0
55148,0.531448483467102,0.5113925933837891,0.02005589008331299,23.0
34041,1.5403451919555664,1.5748566389083862,-0.034511446952819824,3.0
60066,0.6661967039108276,0.3831065893173218,0.28309011459350586,10.0
1406,0.42138317227363586,0.38537710905075073,0.03600606322288513,3.0
32968,0.09312555193901062,0.03513912856578827,0.05798642337322235,4.0
60160,0.003434719517827034,0.010984743013978004,-0.0075500234961509705,19.0
40966,0.3477943539619446,0.20614324510097504,0.14165110886096954,11.0
61564,0.3982570767402649,0.4042087197303772,-0.005951642990112305,3.0
18763,0.5380271077156067,0.5169916152954102,0.021035492420196533,3.0
45377,0.05278521776199341,0.05412319302558899,-0.001337975263595581,3.0
20287,0.4297855794429779,0.4802817106246948,-0.05049613118171692,12.0
36952,0.5064151287078857,0.5074777007102966,-0.0010625720024108887,4.0
17256,1.3121330738067627,0.8158490061759949,0.4962840676307678,4.0
65442,0.7026140689849854,0.662247359752655,0.04036670923233032,6.0
47872,0.20757924020290375,0.2091675102710724,-0.0015882700681686401,3.0
16541,0.4967399537563324,0.49441462755203247,0.0023253262042999268,20.0
52690,0.3727523684501648,0.4133061170578003,-0.0405537486076355,12.0
29243,0.21003183722496033,0.24133524298667908,-0.03130340576171875,4.0
3445,1.2650468349456787,1.215245246887207,0.04980158805847168,4.0
5602,0.29100772738456726,0.34619948267936707,-0.055191755294799805,19.0
